id,date,home,away,score,link
2561895,Sat 16 Aug,Liverpool,Bournemouth,4 - 2,https://www.premierleague.com/en/match/2561895/liverpool-vs-bournemouth
2561896,Sat 16 Aug,Aston Villa,Newcastle,0 - 0,https://www.premierleague.com/en/match/2561896/aston-villa-vs-newcastle-united
2561897,Sat 16 Aug,Brighton,Fulham,1 - 1,https://www.premierleague.com/en/match/2561897/brighton-and-hove-albion-vs-fulham
2561899,Sat 16 Aug,Sunderland,West Ham,3 - 0,https://www.premierleague.com/en/match/2561899/sunderland-vs-west-ham-united
2561900,Sat 16 Aug,Spurs,Burnley,3 - 0,https://www.premierleague.com/en/match/2561900/tottenham-hotspur-vs-burnley
2561901,Sat 16 Aug,Wolves,Man City,0 - 4,https://www.premierleague.com/en/match/2561901/wolverhampton-wanderers-vs-manchester-city
2561902,Sun 17 Aug,Chelsea,Crystal Palace,0 - 0,https://www.premierleague.com/en/match/2561902/chelsea-vs-crystal-palace
2561898,Sun 17 Aug,Nott'm Forest,Brentford,3 - 1,https://www.premierleague.com/en/match/2561898/nottingham-forest-vs-brentford
2561903,Sun 17 Aug,Man Utd,Arsenal,0 - 1,https://www.premierleague.com/en/match/2561903/manchester-united-vs-arsenal
2561904,Tue 19 Aug,Leeds,Everton,1 - 0,https://www.premierleague.com/en/match/2561904/leeds-united-vs-everton
2561914,Sat 23 Aug,West Ham,Chelsea,1 - 5,https://www.premierleague.com/en/match/2561914/west-ham-united-vs-chelsea
2561912,Sat 23 Aug,Man City,Spurs,0 - 2,https://www.premierleague.com/en/match/2561912/manchester-city-vs-tottenham-hotspur
2561905,Sat 23 Aug,Bournemouth,Wolves,1 - 0,https://www.premierleague.com/en/match/2561905/bournemouth-vs-wolverhampton-wanderers
2561907,Sat 23 Aug,Brentford,Aston Villa,1 - 0,https://www.premierleague.com/en/match/2561907/brentford-vs-aston-villa
2561908,Sat 23 Aug,Burnley,Sunderland,2 - 0,https://www.premierleague.com/en/match/2561908/burnley-vs-sunderland
2561906,Sat 23 Aug,Arsenal,Leeds,5 - 0,https://www.premierleague.com/en/match/2561906/arsenal-vs-leeds-united
2561909,Sun 24 Aug,Crystal Palace,Nott'm Forest,1 - 1,https://www.premierleague.com/en/match/2561909/crystal-palace-vs-nottingham-forest
2561910,Sun 24 Aug,Everton,Brighton,2 - 0,https://www.premierleague.com/en/match/2561910/everton-vs-brighton-and-hove-albion
2561911,Sun 24 Aug,Fulham,Man Utd,1 - 1,https://www.premierleague.com/en/match/2561911/fulham-vs-manchester-united
2561913,Tue 26 Aug,Newcastle,Liverpool,2 - 3,https://www.premierleague.com/en/match/2561913/newcastle-united-vs-liverpool
2561917,Sat 30 Aug,Chelsea,Fulham,2 - 0,https://www.premierleague.com/en/match/2561917/chelsea-vs-fulham
2561920,Sat 30 Aug,Man Utd,Burnley,3 - 2,https://www.premierleague.com/en/match/2561920/manchester-united-vs-burnley
2561922,Sat 30 Aug,Sunderland,Brentford,2 - 1,https://www.premierleague.com/en/match/2561922/sunderland-vs-brentford
2561923,Sat 30 Aug,Spurs,Bournemouth,0 - 1,https://www.premierleague.com/en/match/2561923/tottenham-hotspur-vs-bournemouth
2561924,Sat 30 Aug,Wolves,Everton,2 - 3,https://www.premierleague.com/en/match/2561924/wolverhampton-wanderers-vs-everton
2561918,Sat 30 Aug,Leeds,Newcastle,0 - 0,https://www.premierleague.com/en/match/2561918/leeds-united-vs-newcastle-united
2561916,Sun 31 Aug,Brighton,Man City,2 - 1,https://www.premierleague.com/en/match/2561916/brighton-and-hove-albion-vs-manchester-city
2561921,Sun 31 Aug,Nott'm Forest,West Ham,0 - 3,https://www.premierleague.com/en/match/2561921/nottingham-forest-vs-west-ham-united
2561919,Sun 31 Aug,Liverpool,Arsenal,1 - 0,https://www.premierleague.com/en/match/2561919/liverpool-vs-arsenal
2561915,Mon 1 Sep,Aston Villa,Crystal Palace,0 - 3,https://www.premierleague.com/en/match/2561915/aston-villa-vs-crystal-palace
