team_id,stadium,capacity,image_link,location
54,Craven Cottage,28.8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Craven_Cottage_2023.jpg/800px-Craven_Cottage_2023.jpg,"Stevenage Road, Fulham, London SW6 6HH, UK"
3,Emirates Stadium,60.704,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Emirates_Stadium_2022.jpg/800px-Emirates_Stadium_2022.jpg,"Hornsey Road, London N7 7AJ, UK"
7,Villa Park,43.205,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Villa_Park_2023.jpg/800px-Villa_Park_2023.jpg,"Trinity Road, Aston, Birmingham B6 6HE, UK"
91,Vitality Stadium,11.307,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Vitality_Stadium_2023.jpg/800px-Vitality_Stadium_2023.jpg,"Dean Court, Kings Park, Bournemouth BH7 7AF, UK"
94,Gtech Community Stadium,17.25,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Gtech_Community_Stadium_2023.jpg/800px-Gtech_Community_Stadium_2023.jpg,"Lionel Road South, Brentford TW8 0RU, UK"
36,American Express Stadium,31.876,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/American_Express_Community_Stadium_2023.jpg/800px-American_Express_Community_Stadium_2023.jpg,"Village Way, Brighton BN1 9BL, UK"
90,Turf Moor,21.944,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Turf_Moor_2023.jpg/800px-Turf_Moor_2023.jpg,"Harry Potts Way, Burnley BB10 4BX, UK"
8,Stamford Bridge,41.631,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Stamford_Bridge_2023.jpg/800px-Stamford_Bridge_2023.jpg,"Fulham Road, London SW6 1HS, UK"
31,Selhurst Park,25.456,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Selhurst_Park_2023.jpg/800px-Selhurst_Park_2023.jpg,"Selhurst Road, London SE25 6PU, UK"
11,Goodison Park,39.572,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Goodison_Park_2023.jpg/800px-Goodison_Park_2023.jpg,"Goodison Road, Liverpool L4 4EL, UK"
2,Elland Road,37.89,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Elland_Road_2023.jpg/800px-Elland_Road_2023.jpg,"Elland Road, Leeds LS11 0ES, UK"
14,Anfield,54.074,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Anfield_2023.jpg/800px-Anfield_2023.jpg,"Anfield Road, Liverpool L4 0TH, UK"
43,Etihad Stadium,53.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Etihad_Stadium_2023.jpg/800px-Etihad_Stadium_2023.jpg,"Ashton New Road, Manchester M11 3FF, UK"
1,Old Trafford,74.14,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Old_Trafford_2023.jpg/800px-Old_Trafford_2023.jpg,"Old Trafford, Manchester M16 0RA, UK"
4,St. James' Park,52.305,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/St_James%27_Park_2023.jpg/800px-St_James%27_Park_2023.jpg,"St. James' Park, Newcastle upon Tyne NE1 4ST, UK"
17,City Ground,30.445,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/City_Ground_2023.jpg/800px-City_Ground_2023.jpg,"City Ground, Nottingham NG2 5FJ, UK"
56,Stadium of Light,49.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Stadium_of_Light_2023.jpg/800px-Stadium_of_Light_2023.jpg,"Stadium Way, Sunderland SR5 1SU, UK"
6,Tottenham Hotspur Stadium,62.85,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Tottenham_Hotspur_Stadium_2023.jpg/800px-Tottenham_Hotspur_Stadium_2023.jpg,"782 High Road, Tottenham, London N17 0BX, UK"
21,London Stadium,60.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/London_Stadium_2023.jpg/800px-London_Stadium_2023.jpg,"Queen Elizabeth Olympic Park, London E20 2ST, UK"
39,Molineux Stadium,32.05,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Molineux_Stadium_2023.jpg/800px-Molineux_Stadium_2023.jpg,"Molineux Street, Wolverhampton WV1 4QR, UK"


