team_id,name,link,est,stadium
54,Fulham,https://www.fulhamfc.com/,1879,Craven Cottage
3,Arsenal,https://www.arsenal.com/,1886,Emirates Stadium
7,Aston Villa,https://www.avfc.co.uk/,1874,Villa Park
91,Bournemouth,https://www.afcb.co.uk/,1890,Vitality Stadium
94,Brentford,https://www.brentfordfc.com/en,1889,Gtech Community Stadium
36,Brighton and Hove Albion,https://www.brightonandhovealbion.com/pages/en/home,1901,American Express Stadium
90,Burnley,https://www.burnleyfootballclub.com/,1882,Turf Moor
8,Chelsea,https://www.chelseafc.com/en,1905,Stamford Bridge
31,Crystal Palace,https://www.cpfc.co.uk/,1861,Selhurst Park
11,Everton,https://www.evertonfc.com/,1878,Hill Dickinson Stadium
2,Leeds United,https://www.leedsunited.com/en,1919,Elland Road
14,Liverpool,https://www.liverpoolfc.com/,1892,Anfield
43,Manchester City,https://www.mancity.com/,1880,Etihad Stadium
1,Manchester United,https://www.manutd.com,1878,Old Trafford
4,Newcastle United,https://www.newcastleunited.com/en,1892,St. James' Park
17,Nottingham Forest,https://www.nottinghamforest.co.uk/,1865,City Ground
56,Sunderland,https://www.safc.com/,1879,Stadium of Light
6,Tottenham Hotspur,https://www.tottenhamhotspur.com/?utm_source=external&utm_medium=premierleague&utm_campaign=club_premierleague_0_2025_6&utm_content=overview,1882,Tottenham Hotspur Stadium
21,West Ham United,https://www.whufc.com/,1895,London Stadium
39,Wolverhampton Wanderers,https://www.wolves.co.uk/,1877,Molineux Stadium
